id_recu,date_cotisation,id syndic ,numero,valeur-ajouter 
1,01/12/2020,200,1,10 
2,03/12/2020,200,1,18 
3,01/12/2020,200,1,19 
4,02/12/2020,150,2,1 
5,01/12/2020,150,2,3 
6,01/12/2020,150,2,6 
7,04/12/2020,150,2,16 
8,01/12/2020,150,3,2 
9,02/12/2020,150,3,4 
10,05/12/2020,150,3,9 
11,01/12/2020,150,3,11 
12,02/12/2020,150,4,8 
13,01/12/2020,150,4,13 
14,01/12/2020,150,4,17 
15,03/12/2020,150,4,20 
16,01/12/2020,100,5,5 
17,03/12/2020,100,5,7 
18,02/12/2020,100,5,12 
19,04/12/2020,100,5,14 
20,03/12/2020,100,5,15 
21,01/01/2021,275,1,10 
22,06/01/2021,275,1,18 
23,01/01/2021,275,1,19 
24,02/01/2021,225,2,1 
25,01/01/2021,225,2,3 
26,01/01/2021,225,2,6 
27,04/01/2021,225,2,16 
28,01/01/2021,225,3,2 
29,02/01/2021,225,3,4 
30,04/01/2021,225,3,9 
31,01/01/2021,225,3,11 
32,02/01/2021,225,4,8 
33,09/01/2021,225,4,13 
34,01/01/2021,225,4,17 
35,03/01/2021,225,4,20 
36,01/01/2021,175,5,5 
37,08/01/2021,175,5,7 
38,02/01/2021,175,5,12 
39,04/01/2021,175,5,14 
40,01/02/2021,175,5,15 
41,09/02/2021,250,1,10 
42,06/02/2021,250,1,18 
43,01/02/2021,250,1,19 
44,02/02/2021,200,2,1 
45,01/02/2021,200,2,3 
46,01/02/2021,200,2,6 
47,07/02/2021,200,2,16 
48,05/02/2021,200,3,2 
49,02/02/2021,200,3,4 
50,04/02/2021,200,3,9 
51,01/02/2021,200,3,11 
52,02/02/2021,200,4,8 
53,09/02/2021,200,4,13 
54,01/02/2021,200,4,17 
55,03/02/2021,200,4,20 
56,01/02/2021,150,5,5 
57,01/02/2021,150,5,7 
58,05/02/2021,150,5,12 
59,04/02/2021,150,5,14 
60,11,11,11,11
2222,1,1,1,1
